auc,precision,recall,accuracy,model,sampling,rep
0.9289741665773394,0.8965241709948062,0.9140529531568228,0.8657142857142858,egoalter_full,deg,11
0.9248558217426838,0.8713740458015267,0.9364232977850697,0.8594285714285714,node_nonetwork,edge,11
0.9259013361883177,0.8807482462977396,0.9269893355209188,0.8617142857142858,node_basic,edge,11
0.9259376414553623,0.8828582584927762,0.9273995077932732,0.8637142857142858,node_full,edge,11
0.932301877523023,0.8900625978090767,0.9331419196062346,0.8731428571428571,egoalter_basic,edge,11
0.9322474196224562,0.887890625,0.9323215750615258,0.8708571428571429,egoalter_full,edge,11
0.9209796224383265,0.8900195694716243,0.9236393176279447,0.866,node_nonetwork,node,12
0.92118075283813,0.887890625,0.9232331437855402,0.864,node_basic,node,12
0.9176531447559748,0.8896307934014139,0.9199837530463039,0.8634285714285714,node_full,node,12
0.9274287082732682,0.8930669800235017,0.9260763606823721,0.87,egoalter_basic,node,12
0.925950360704285,0.8973954222573007,0.9236393176279447,0.872,egoalter_full,node,12
0.9239715434580884,0.8861852433281004,0.9254098360655738,0.8651428571428571,node_nonetwork,deg,12
0.9218840859882462,0.8915226998794696,0.9094262295081967,0.8597142857142858,node_basic,deg,12
0.922317893597278,0.891653290529695,0.910655737704918,0.8605714285714285,node_full,deg,12
0.9291961800185586,0.9012997562956946,0.9094262295081967,0.8674285714285714,egoalter_basic,deg,12
0.9305169347355398,0.899071457408155,0.9127049180327869,0.8677142857142857,egoalter_full,deg,12
0.9210557181130166,0.8787407695297318,0.9281609195402298,0.8608571428571429,node_nonetwork,edge,12
0.921070379149845,0.880124951190941,0.9252873563218391,0.8602857142857143,node_basic,edge,12
0.9211471566848155,0.8822378716744914,0.9256978653530378,0.8622857142857143,node_full,edge,12
0.9293179839994073,0.8861852433281004,0.9269293924466339,0.8662857142857143,egoalter_basic,edge,12
0.9298546551106831,0.8862392494136043,0.930623973727422,0.8685714285714285,egoalter_full,edge,12
0.9201938034742028,0.8879651623119557,0.9207717569786535,0.864,node_nonetwork,node,13
0.9202875569465536,0.8877026492684855,0.9215927750410509,0.8642857142857143,node_basic,node,13
0.9201606232329592,0.887001185302252,0.9215927750410509,0.8637142857142858,node_full,node,13
0.9290861081274615,0.8909163030543436,0.9220032840722496,0.8671428571428571,egoalter_basic,node,13
0.9292817172240947,0.8922772277227723,0.9248768472906403,0.87,egoalter_full,node,13
